Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,_month,_day,_Disciplinary failure,_drinker,_smoker,_pet,Transportation expense [Binned],Distance from Residence to Work [Binned],Service time [Binned],Age [Binned],Work load Average/day [Binned],Hit target [Binned],Body mass index [Binned]
23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,Mar,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,Mar,Mon,No,No,No,,Low,Low,Low,Low,High,Low,Low
13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,1,Mar,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,Low
11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,Mar,Tue,No,No,No,,Low,Low,Low,Low,High,Low,Low
11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16,Mar,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
13,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,3,Mar,Wed,No,Yes,No,No,Low,High,High,High,High,Low,High
14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16,Mar,Thu,No,Yes,Yes,No,High,Low,High,High,High,Low,Low
28,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,Mar,Fri,No,No,No,,Low,Low,Low,Low,High,Low,Low
14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,Mar,Fri,No,No,No,Yes,High,Low,High,High,High,Low,High
28,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,Mar,Mon,No,No,No,,Low,Low,Low,Low,High,Low,Low
28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,Apr,Wed,No,Yes,No,Yes,High,High,Low,High,High,High,Low
23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,1,Apr,Wed,No,No,No,,Low,Low,Low,Low,High,High,Low
28,4,3,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,Apr,Tue,No,Yes,No,No,Low,Low,High,Low,High,High,Low
13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24,Apr,Wed,No,Yes,No,No,High,Low,High,High,High,High,Low
23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,Apr,Thu,No,Yes,No,No,Low,Low,High,Low,High,High,Low
28,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,2,Apr,Fri,No,No,No,,Low,Low,Low,Low,High,High,Low
28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,4,Apr,Fri,No,Yes,No,No,High,High,Low,Low,High,High,Low
13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24,Apr,Wed,No,Yes,No,No,Low,High,High,High,High,High,High
23,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31,1,Apr,Thu,No,Yes,No,No,Low,Low,High,High,High,High,High
23,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,3,Apr,Fri,No,Yes,No,Yes,High,High,Low,High,High,High,Low
14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,8,Apr,Fri,No,Yes,No,No,High,Low,High,High,High,High,Low
28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,Apr,Fri,No,Yes,No,Yes,High,High,Low,High,High,High,Low
28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,8,Apr,Fri,No,No,No,Yes,High,Low,High,High,High,High,High
19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56,Apr,Fri,No,Yes,No,No,High,High,Low,Low,High,High,Low
19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,8,Apr,Tue,No,Yes,No,Yes,High,High,Low,Low,High,High,High
12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24,Apr,Wed,No,Yes,No,No,Low,Low,High,Low,High,High,Low
19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,8,Apr,Wed,No,No,Yes,,High,High,Low,Low,High,High,Low
13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16,Apr,Thu,No,Yes,No,Yes,High,High,Low,Low,High,High,High
7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,3,Apr,Fri,No,No,No,Yes,High,Low,High,Low,High,High,High
0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0,Apr,Mon,Yes,No,Yes,,High,High,Low,High,High,High,High
13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,8,May,Wed,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
28,5,5,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,May,Thu,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,1,May,Mon,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,8,May,Tue,No,Yes,No,No,Low,High,High,High,High,Low,High
19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,8,May,Tue,No,No,No,,Low,Low,Low,Low,High,Low,Low
7,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21,4,May,Wed,No,No,No,No,Low,High,Low,Low,High,Low,Low
28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,May,Mon,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
12,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,May,Tue,No,Yes,No,No,Low,High,High,High,High,Low,High
13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24,May,Wed,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
0,5,4,3,279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24,0,May,Wed,Yes,Yes,Yes,No,High,Low,High,High,High,Low,Low
0,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25,0,May,Wed,Yes,No,No,No,High,Low,Low,Low,High,Low,Low
0,5,4,3,378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21,0,May,Wed,Yes,No,Yes,,High,High,Low,Low,High,Low,Low
0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0,May,Wed,Yes,No,No,No,High,Low,Low,High,High,Low,Low
11,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,May,Tue,No,Yes,No,No,Low,High,High,High,High,Low,High
13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24,May,Wed,No,Yes,No,No,Low,Low,High,High,High,Low,High
22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,8,May,Fri,No,Yes,No,,High,High,Low,Low,High,Low,High
19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,Jun,Mon,No,Yes,No,No,High,Low,High,High,High,Low,Low
22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,8,Jun,Mon,No,Yes,No,,High,High,Low,Low,High,Low,High
10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24,Jun,Tue,No,Yes,No,No,High,Low,High,High,High,Low,Low
23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,4,Jun,Thu,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,Jun,Fri,No,Yes,No,No,High,Low,High,High,High,Low,Low
11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,8,Jun,Mon,No,Yes,No,No,Low,High,High,High,High,Low,High
23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,4,Jun,Mon,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,Jun,Mon,No,Yes,No,No,High,Low,High,High,High,Low,Low
13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,8,Jun,Wed,No,Yes,No,No,Low,Low,High,High,High,Low,High
13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16,Jun,Fri,No,No,No,Yes,High,Low,High,Low,High,Low,High
23,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1,Jun,Tue,No,Yes,No,No,Low,Low,High,High,High,Low,High
13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80,Jun,Wed,No,Yes,No,No,Low,Low,High,High,High,Low,High
22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,8,Jun,Thu,No,No,Yes,,High,High,Low,Low,High,Low,Low
11,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,2,Jun,Fri,No,Yes,No,No,Low,High,High,High,High,Low,High
28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,2,Jun,Mon,No,No,No,,High,High,High,High,High,Low,High
28,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24,2,Jun,Thu,No,No,No,,Low,Low,Low,Low,High,Low,Low
19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16,Jul,Tue,No,Yes,No,No,Low,Low,High,Low,High,High,Low
1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8,Jul,Wed,No,Yes,No,No,Low,Low,High,High,High,High,High
5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8,Jul,Fri,No,No,No,No,Low,Low,Low,Low,High,High,High
26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4,Jul,Fri,No,No,No,No,Low,Low,Low,Low,High,High,High
26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,Jul,Tue,No,No,No,No,High,Low,Low,Low,High,High,Low
18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8,Jul,Thu,No,No,No,No,Low,Low,Low,Low,High,High,Low
25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,2,Jul,Fri,No,Yes,No,No,Low,Low,High,Low,High,High,Low
1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,Jul,Mon,No,No,No,No,High,Low,Low,Low,High,High,Low
1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,Jul,Tue,No,No,No,No,High,Low,Low,Low,High,High,Low
25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,3,Jul,Mon,No,Yes,Yes,No,Low,High,Low,Low,High,High,Low
22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,8,Jul,Tue,No,Yes,No,,High,High,Low,Low,High,High,High
26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8,Jul,Wed,No,Yes,No,Yes,High,High,Low,Low,High,High,High
26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,8,Jul,Thu,No,Yes,No,No,Low,High,High,High,High,High,High
19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32,Jul,Mon,No,Yes,No,Yes,High,High,Low,Low,High,High,High
19,7,5,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8,Jul,Thu,No,Yes,No,Yes,High,High,Low,Low,High,High,High
0,7,5,1,260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23,0,Jul,Thu,Yes,Yes,No,No,High,High,Low,Low,High,High,Low
19,8,6,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,8,Aug,Fri,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
19,8,6,1,157,27,6,29,265.615,94,0,1,0,1,1,0,75,185,22,3,Aug,Fri,No,Yes,Yes,No,Low,High,Low,Low,High,Low,Low
23,8,2,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,1,Aug,Mon,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,8,Aug,Tue,No,No,No,Yes,High,Low,High,High,High,Low,Low
13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,1,Aug,Thu,No,Yes,Yes,Yes,High,Low,Low,High,High,Low,Low
14,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,2,Aug,Thu,No,Yes,Yes,Yes,High,Low,Low,High,High,Low,Low
28,8,6,1,260,50,11,36,265.615,94,0,1,4,1,0,0,65,168,23,4,Aug,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
23,8,3,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,4,Aug,Tue,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
23,8,4,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,1,Aug,Wed,No,No,No,Yes,High,Low,High,High,High,Low,High
11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,8,Aug,Thu,No,No,No,No,High,Low,Low,Low,High,Low,Low
23,8,5,1,179,26,9,30,265.615,94,0,3,0,0,0,0,56,171,19,1,Aug,Thu,No,No,No,No,Low,Low,Low,Low,High,Low,Low
13,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,3,Aug,Thu,No,Yes,No,No,Low,Low,High,High,High,Low,High
25,8,2,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,2,Aug,Mon,No,No,No,Yes,High,Low,High,High,High,Low,High
23,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,1,Aug,Tue,No,No,No,Yes,High,Low,High,Low,High,Low,High
23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,1,Aug,Thu,No,Yes,No,No,Low,Low,High,High,High,Low,High
19,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,8,Aug,Thu,No,No,No,Yes,High,Low,High,Low,High,Low,High
8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,8,Aug,Tue,No,Yes,No,,High,High,Low,Low,High,Low,High
6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,8,Aug,Wed,No,No,No,No,Low,High,Low,Low,High,Low,Low
11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,Sep,Mon,No,Yes,No,No,Low,High,High,High,High,Low,High
23,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,3,Sep,Fri,No,Yes,No,No,Low,High,High,High,High,Low,High
19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,24,Sep,Wed,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
0,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,Sep,Thu,Yes,Yes,No,No,High,Low,Low,High,High,Low,High
9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,16,Sep,Mon,No,Yes,No,No,High,Low,High,High,High,Low,Low
28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3,Sep,Tue,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
0,9,3,1,231,35,14,39,294.217,81,1,1,2,1,0,2,100,170,35,0,Sep,Tue,Yes,Yes,No,,High,High,High,High,High,Low,High
0,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23,0,Sep,Tue,Yes,Yes,No,No,High,High,Low,Low,High,Low,Low
13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,Sep,Wed,No,Yes,No,No,Low,High,High,High,High,Low,High
9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,32,Sep,Wed,No,Yes,No,No,High,Low,High,High,High,Low,Low
23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1,Sep,Thu,No,Yes,No,No,Low,High,High,High,High,Low,High
28,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,4,Sep,Fri,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
28,9,6,1,260,50,11,36,294.217,81,0,1,4,1,0,0,65,168,23,4,Sep,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,8,Sep,Wed,No,Yes,No,No,High,Low,Low,High,High,Low,High
28,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31,1,Sep,Thu,No,Yes,No,No,Low,Low,High,High,High,Low,High
0,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,Sep,Thu,Yes,Yes,No,No,High,Low,Low,High,High,Low,High
28,9,6,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3,Sep,Fri,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,40,Sep,Mon,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
13,9,2,4,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,Sep,Mon,No,Yes,No,No,Low,High,High,High,High,Low,High
24,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8,Oct,Mon,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
26,10,2,4,235,11,14,37,265.017,88,0,3,1,0,0,1,88,172,29,4,Oct,Mon,No,No,No,Yes,High,Low,High,Low,High,Low,High
26,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8,Oct,Mon,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
22,10,6,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8,Oct,Fri,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
0,10,6,4,118,13,18,50,265.017,88,1,1,1,1,0,0,98,178,31,0,Oct,Fri,Yes,Yes,No,No,Low,Low,High,High,High,Low,High
0,10,6,4,248,25,14,47,265.017,88,1,1,2,0,0,1,86,165,32,0,Oct,Fri,Yes,No,No,Yes,High,Low,High,High,High,Low,High
1,10,2,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,8,Oct,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,Low
7,10,2,4,118,10,10,37,265.017,88,0,1,0,0,0,0,83,172,28,3,Oct,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,High
22,10,2,4,369,17,12,31,265.017,88,0,1,3,1,0,0,70,169,25,8,Oct,Mon,No,Yes,No,No,High,Low,Low,Low,High,Low,Low
28,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31,1,Oct,Wed,No,Yes,No,No,Low,High,High,High,High,Low,High
1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,64,Oct,Wed,No,No,No,No,Low,Low,Low,Low,High,Low,Low
0,10,4,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0,Oct,Wed,Yes,Yes,No,No,High,Low,Low,High,High,Low,High
19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,16,Oct,Thu,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
28,10,6,4,260,50,11,36,265.017,88,0,1,4,1,0,0,65,168,23,3,Oct,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
0,10,6,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0,Oct,Fri,Yes,Yes,No,No,High,Low,Low,High,High,Low,High
23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,2,Oct,Mon,No,Yes,No,No,High,Low,Low,High,High,Low,High
23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,2,Oct,Mon,No,Yes,No,No,High,Low,Low,High,High,Low,High
28,10,3,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1,Oct,Tue,No,Yes,No,No,Low,Low,High,High,High,Low,High
28,10,3,4,291,31,12,40,265.017,88,0,1,1,1,0,1,73,171,25,4,Oct,Tue,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,16,Oct,Thu,No,No,No,No,Low,Low,Low,Low,High,Low,Low
28,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1,Oct,Thu,No,Yes,No,No,Low,Low,High,High,High,Low,High
10,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27,8,Oct,Mon,No,Yes,No,,High,High,Low,Low,High,Low,High
0,10,3,4,260,50,11,36,265.017,88,1,1,4,1,0,0,65,168,23,0,Oct,Tue,Yes,Yes,No,No,High,High,Low,Low,High,Low,Low
0,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25,0,Oct,Tue,Yes,Yes,No,Yes,High,High,Low,High,High,Low,Low
0,10,3,4,157,27,6,29,265.017,88,1,1,0,1,1,0,75,185,22,0,Oct,Tue,Yes,Yes,Yes,No,Low,High,Low,Low,High,Low,Low
1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,5,Oct,Wed,No,No,No,No,Low,Low,Low,Low,High,Low,Low
7,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,5,Oct,Wed,No,No,No,No,Low,Low,Low,Low,High,Low,Low
23,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1,Oct,Thu,No,Yes,No,No,Low,Low,High,High,High,Low,High
11,11,2,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,8,Nov,Mon,No,No,No,No,Low,Low,Low,Low,High,High,High
23,11,2,4,248,25,14,47,284.031,97,0,1,2,0,0,1,86,165,32,2,Nov,Mon,No,No,No,Yes,High,Low,High,High,High,High,High
6,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,8,Nov,Tue,No,Yes,No,No,Low,High,High,High,High,High,High
28,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,3,Nov,Fri,No,Yes,No,No,High,High,Low,Low,High,High,Low
23,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,1,Nov,Mon,No,Yes,No,Yes,High,High,Low,High,High,High,Low
1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,8,Nov,Mon,No,No,Yes,,High,High,Low,Low,High,High,Low
11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,120,Nov,Mon,No,Yes,No,No,Low,Low,High,Low,High,High,Low
26,11,2,4,235,20,13,43,284.031,97,0,1,1,1,0,0,106,167,38,8,Nov,Mon,No,Yes,No,No,High,Low,Low,High,High,High,High
0,11,3,4,330,16,4,28,284.031,97,1,2,0,0,0,0,84,182,25,0,Nov,Tue,Yes,No,No,No,High,Low,Low,Low,High,High,Low
18,11,4,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,1,Nov,Wed,No,No,No,Yes,High,Low,High,Low,High,High,High
11,11,4,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,3,Nov,Wed,No,No,No,No,Low,Low,Low,Low,High,High,High
25,11,5,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,2,Nov,Thu,No,No,No,Yes,High,Low,High,Low,High,High,High
28,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,3,Nov,Thu,No,Yes,No,No,Low,High,High,High,High,High,High
13,11,6,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8,Nov,Fri,No,Yes,No,No,High,Low,High,High,High,High,Low
12,11,6,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,4,Nov,Fri,No,Yes,No,Yes,High,High,Low,High,High,High,Low
13,11,2,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8,Nov,Mon,No,Yes,No,No,High,Low,High,High,High,High,Low
28,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,1,Nov,Tue,No,Yes,No,No,Low,High,High,High,High,High,High
10,11,4,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8,Nov,Wed,No,Yes,No,No,High,High,Low,Low,High,High,Low
15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8,Nov,Fri,No,Yes,No,No,High,High,Low,Low,High,High,Low
0,11,6,4,378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21,0,Nov,Fri,Yes,No,Yes,,High,High,Low,Low,High,High,Low
0,11,3,4,279,5,14,39,284.031,97,1,1,2,1,1,0,68,168,24,0,Nov,Tue,Yes,Yes,Yes,No,High,Low,High,High,High,High,Low
23,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,1,Nov,Thu,No,Yes,No,No,Low,High,High,High,High,High,High
12,12,2,4,225,26,9,28,236.629,93,0,1,1,0,0,2,69,169,24,3,Dec,Mon,No,No,No,,Low,Low,Low,Low,Low,Low,Low
28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,2,Dec,Mon,No,Yes,No,No,Low,High,High,High,Low,Low,High
28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1,Dec,Mon,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,12,2,4,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,3,Dec,Mon,No,No,No,Yes,High,Low,High,Low,Low,Low,High
28,12,3,4,118,13,18,50,236.629,93,0,1,1,1,0,0,98,178,31,1,Dec,Tue,No,Yes,No,No,Low,Low,High,High,Low,Low,High
28,12,6,4,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,4,Dec,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
4,12,5,4,246,25,16,41,236.629,93,0,1,0,1,0,0,67,170,23,8,Dec,Thu,No,Yes,No,No,High,Low,High,High,Low,Low,Low
28,12,5,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1,Dec,Thu,No,Yes,No,No,Low,High,High,High,Low,Low,High
28,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1,Dec,Fri,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,12,3,4,179,26,9,30,236.629,93,0,3,0,0,0,0,56,171,19,1,Dec,Tue,No,No,No,No,Low,Low,Low,Low,Low,Low,Low
25,12,3,4,118,10,10,37,236.629,93,0,1,0,0,0,0,83,172,28,8,Dec,Tue,No,No,No,No,Low,Low,Low,Low,Low,Low,High
25,12,5,4,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,2,Dec,Thu,No,No,No,Yes,High,Low,High,Low,Low,Low,High
28,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1,Dec,Fri,No,Yes,No,No,Low,High,High,High,Low,Low,High
